⺁	〔※󰃼※󰄋※󰄋※※☯rtt※〕
㖂	〔※󰃏※󰃊※󰁒※󰄋☯kjnt※〕
㖃	〔※󰃏※󰃼※󰂶※󰃏☯krgk※〕
㖄	〔※󰃏※󰄼※󰄋※󰂺☯kyth※〕
㖅	〔※󰃏※󰂤※󰂶※󰀝☯kdgg※〕
㖆	〔※󰃏※󰀿※󰁺※󰀝☯kmag※〕
㖇	〔※󰃏※󰂢※󰃜※󰀭☯kdmj※〕
㖈	〔※󰂮※󰄋※󰄮※󰃏☯ftxk※〕
㖉	〔※󰃏※󰄤※󰂾※󰀝☯kwhg※〕
㖊	〔※󰃏※󰄢※󰂳※󰁶☯kvfy※〕
㖋	〔※󰄤※󰀯※󰃏※󰄮☯wjkx※〕
㖌	〔※󰄥※󰄡※󰃏※󰄮☯wvkx※〕
㖍	〔※󰁦※󰂱※󰃏※󰄮☯ufkx※〕
㖎	〔※󰃏※󰄮※󰄤※󰀯☯kxwj※〕
㖏	〔※󰃏※󰃊※󰂮※󰀝☯kjfg※〕
㖐	〔※󰃏※󰃏※󰁬※󰄋☯kkvt※〕
㖑	〔※󰃏※󰂇※󰂉※󰀢☯kaah※〕
㖒	〔※󰃏※󰄒※󰄬※󰄋☯kuxt※〕
㖓	〔※󰃏※󰄐※󰂜※󰂺☯ktdh※〕
㖔	〔※󰃏※󰄋※󰂝※󰃏☯ktdk※〕
㖕	〔※󰃏※󰄔※󰀢※※☯kuh※〕
㖖	〔※󰄔※󰃏※󰀘※※☯ukf※〕
㖗	〔※󰃏※󰃘※󰄤※󰃦☯kmwn※〕
㖘	〔※󰃏※󰂡※󰂭※󰀖☯kdfe※〕
㖙	〔※󰂫※󰃏※󰃏※󰄮☯ekkx※〕
㖚	〔※󰄥※󰂳※󰃏※󰄮☯wfkx※〕
㖛	〔※󰂟※󰃏※󰄮※󰀅☯dkxb※〕
㖜	〔※󰁸※󰃏※󰄮※󰀅☯ykxb※〕
㖝	〔※󰂵※󰃏※󰄮※󰀅☯fkxb※〕
㖞	〔※󰃏※󰃏※󰃜※󰄤☯kkmw※〕
㖟	〔※󰃏※󰂦※󰃱※󰂘☯kepc※〕
㖠	〔※󰃏※󰂝※󰂭※󰃅☯kdfi※〕
㖡	〔※󰃏※󰄶※󰄥※󰄼☯kywy※〕
㖢	〔※󰃏※󰃫※󰂾※󰄮☯kohx※〕
㖣	〔※󰃏※󰄓※󰃏※󰀝☯kukg※〕
㖤	〔※󰃏※󰂒※󰀪※󰂔☯kbib※〕
㖥	〔※󰃏※󰃒※󰄌※󰁶☯klty※〕
㖦	〔※󰃏※󰄅※󰃊※󰀝☯ksjg※〕
㖧	〔※󰃏※󰁚※󰀁※󰃊☯kqaj※〕
㖨	〔※󰃏※󰁭※󰃃※󰁶☯kviy※〕
㖩	〔※󰃏※󰂐※󰂘※󰁶☯kbcy※〕
㖪	〔※󰃏※󰂇※󰃏※󰀞☯kakg※〕
㖫	〔※󰃏※󰂮※󰄦※󰄐☯kfwt※〕
㖬	〔※󰃏※󰂪※󰂘※󰁶☯kecy※〕
㖭	〔※󰃏※󰄋※󰂝※󰃤☯ktdn※〕
㖮	〔※󰃏※󰄤※󰂶※󰄖☯kwga※〕
㖯	〔※󰃜※󰂶※󰃏※󰄮☯mgkx※〕
㖰	〔※󰃏※󰄮※󰃜※󰃏☯kxmk※〕
㖱	〔※󰄶※󰄥※󰄐※󰃏☯ywtk※〕
㖲	〔※󰄟※󰃏※󰃏※󰄮☯vkkx※〕
㖳	〔※󰃁※󰄟※󰃏※󰄮☯ivkx※〕
㖴	〔※󰃏※󰄖※󰃷※󰁤☯kaqr※〕
㖵	〔※󰃏※󰀣※󰄦※󰁶☯khwy※〕
㖶	〔※󰃏※󰄈※󰂮※󰀝☯ksfg※〕
㖷	〔※󰃏※󰃊※󰂶※󰁾☯kjgh※〕
㖸	〔※󰃏※󰃀※󰂋※󰂶☯khag※〕
㖹	〔※󰃏※󰄦※󰄠※󰃕☯kwvl※〕
㖺	〔※󰃏※󰂜※󰄤※󰃊☯kdwj※〕
㖻	〔※󰃏※󰁻※󰃦※󰄅☯kcns※〕
㖼	〔※󰃏※󰂴※󰄅※󰁶☯kfsy※〕
㖽	〔※󰃏※󰂢※󰃛※󰁶☯kdmy※〕
㖾	〔※󰃏※󰃏※󰄕※󰄋☯kkut※〕
㖿	〔※󰃏※󰂐※󰂏※󰀢☯kbbh※〕
㗀	〔※󰃏※󰃘※󰄩※󰄩☯kmxx※〕
㗁	〔※󰃏※󰃏※󰃏※󰁔☯kkkn※〕
㗂	〔※󰃏※󰃅※󰄋※󰂼☯kith※〕
㗃	〔※󰃏※󰁂※󰀁※󰃊☯knaj※〕
㗄	〔※󰃏※󰃔※󰄸※󰁥☯klyt※〕
㗅	〔※󰃏※󰂟※󰂧※󰀝☯kdeg※〕
㗆	〔※󰃏※󰂊※󰀜※󰀢☯kafh※〕
㗇	〔※󰃏※󰁃※󰂺※󰂘☯knhc※〕
㗈	〔※󰃏※󰁻※󰀒※󰂫☯kcee※〕
㗉	〔※󰂜※󰂺※󰄠※󰃏☯dhvk※〕
㗊	〔※󰃏※󰃏※󰃏※󰃏☯kkkk※〕
㗋	〔※󰃏※󰃸※󰂡※󰂝☯kqdd※〕
㗌	〔※󰃏※󰃰※󰂶※󰂮☯kpgf※〕
㗍	〔※󰃏※󰄌※󰃊※󰀝☯ktjg※〕
㗎	〔※󰃏※󰂫※󰃏※󰄅☯keks※〕
㗏	〔※󰃏※󰂢※󰂿※󰂾☯kdhh※〕
㗐	〔※󰃏※󰂝※󰄼※󰃕☯kdyl※〕
㗑	〔※󰃏※󰂀※󰂜※󰂱☯krdf※〕
㗒	〔※󰃏※󰁸※󰀔※󰁶☯kyey※〕
㗓	〔※󰃏※󰄋※󰃧※󰃮☯ktnp※〕
㗔	〔※󰃏※󰃀※󰄷※󰁶☯khyy※〕
㗕	〔※󰃏※󰀀※󰃜※󰂮☯kamf※〕
㗖	〔※󰃏※󰂦※󰂪※󰀝☯keeg※〕
㗗	〔※󰃏※󰂫※󰃽※󰂱☯kerf※〕
㗘	〔※󰃏※󰄊※󰂳※󰁶☯ksfy※〕
㗙	〔※󰃏※󰃷※󰂔※󰄋☯kqbt※〕
㗚	〔※󰃏※󰄈※󰄅※󰁶☯kssy※〕
㗛	〔※󰃏※󰄍※󰄋※󰂝☯kttd※〕
㗜	〔※󰃏※󰄶※󰄩※󰃐☯kyxl※〕
㗝	〔※󰃏※󰄕※󰂷※󰃨☯kugo※〕
㗞	〔※󰃏※󰂠※󰂗※󰁶☯kdby※〕
㗟	〔※󰃁※󰄼※󰂷※󰄮☯iygx※〕
㗠	〔※󰄟※󰂙※󰃏※󰄮☯vckx※〕
㗡	〔※󰄖※󰄥※󰂖※󰄮☯awbx※〕
㗢	〔※󰃏※󰄋※󰂶※󰂫☯ktge※〕
㗣	〔※󰃏※󰂊※󰃺※󰂺☯kaqh※〕
㗤	〔※󰂤※󰂽※󰃅※󰃏☯dhik※〕
㗥	〔※󰃏※󰁸※󰂎※󰂏☯kybb※〕
㗦	〔※󰃏※󰂐※󰁚※󰂕☯kbqb※〕
㗧	〔※󰃏※󰃰※󰄦※󰂮☯kpwf※〕
㗨	〔※󰂋※󰁿※󰂝※󰃏☯atdk※〕
㗩	〔※󰃏※󰃥※󰃽※󰀝☯knrg※〕
㗪	〔※󰃏※󰂾※󰄮※󰃅☯khxi※〕
㗫	〔※󰃏※󰁯※󰂭※󰃅☯kwfi※〕
㗬	〔※󰃆※󰃱※󰃏※󰃹☯ipkq※〕
㗭	〔※󰃏※󰄋※󰃪※󰃢☯kton※〕
㗮	〔※󰃹※󰃏※󰃫※󰄤☯qkow※〕
㗯	〔※󰂮※󰄋※󰃊※󰄮☯ftjx※〕
㗰	〔※󰃏※󰄎※󰄤※󰁾☯ktwh※〕
㗱	〔※󰃏※󰄥※󰁷※󰄅☯kwys※〕
㗲	〔※󰃏※󰁬※󰂮※󰂶☯kvfg※〕
㗳	〔※󰃏※󰄍※󰄤※󰃏☯ktwk※〕
㗴	〔※󰃏※󰄚※󰂧※󰀝☯kueg※〕
㗵	〔※󰃏※󰃩※󰃩※󰄤☯koow※〕
㗶	〔※󰃏※󰄧※󰄬※󰂘☯kwxc※〕
㗷	〔※󰃏※󰃰※󰀀※󰃚☯kpam※〕
㗸	〔※󰃏※󰄎※󰁿※󰄆☯ktts※〕
㗹	〔※󰃏※󰄥※󰁷※󰃢☯kwyn※〕
㗺	〔※󰃏※󰂶※󰂝※󰂜☯kgdd※〕
㗻	〔※󰃏※󰀿※󰁈※󰃮☯kmnp※〕
㗼	〔※󰃏※󰃬※󰄒※󰂵☯kouf※〕
㗽	〔※󰁲※󰄋※󰄼※󰃏☯xtyk※〕
㗾	〔※󰃏※󰂊※󰀜※󰁳☯kafx※〕
㗿	〔※󰃏※󰄚※󰄆※󰃏☯kusk※〕
㘀	〔※󰃏※󰂪※󰃪※󰁶☯keoy※〕
㘁	〔※󰃏※󰃕※󰂮※󰂱☯klff※〕
㘂	〔※󰃏※󰄕※󰄩※󰃢☯kuxn※〕
㘃	〔※󰃏※󰄖※󰁼※󰃢☯kadn※〕
㘄	〔※󰃏※󰄅※󰃔※󰄸☯ksly※〕
㘅	〔※󰃏※󰄎※󰃶※󰄆☯ktqs※〕
㘆	〔※󰃏※󰂯※󰃏※󰂮☯kfkf※〕
㘇	〔※󰃏※󰃩※󰃩※󰄅☯koos※〕
㘈	〔※󰃏※󰄮※󰁿※󰁾☯kxth※〕
㘉	〔※󰃏※󰄍※󰁮※󰂕☯ktvb※〕
㘊	〔※󰃏※󰀙※󰄳※󰀝☯kfyg※〕
㘋	〔※󰃏※󰂋※󰂺※󰃛☯kahm※〕
㘌	〔※󰃏※󰃀※󰂶※󰃉☯khgj※〕
㘍	〔※󰃏※󰃅※󰄥※󰂇☯kiwa※〕
㘎	〔※󰃏※󰄙※󰃦※󰄏☯kunt※〕
㘏	〔※󰄕※󰄋※󰂼※󰄮☯uthx※〕
㘐	〔※󰃏※󰀋※󰃨※󰄄☯kcor※〕
㘑	〔※󰃏※󰂯※󰂭※󰃃☯kffi※〕
㘒	〔※󰄌※󰄋※󰂶※󰄮☯ttgx※〕
㘓	〔※󰃏※󰄚※󰄅※󰀹☯kusl※〕
㘔	〔※󰃏※󰃰※󰀀※󰃛☯kpam※〕
㘕	〔※󰃏※󰄖※󰂋※󰃕☯kaal※〕
㘖	〔※󰃏※󰄓※󰄋※󰃛☯kutm※〕
㘗	〔※󰃏※󰂼※󰂼※󰁷☯khhy※〕
㘘	〔※󰄳※󰄫※󰄫※󰃏☯yxxk※〕
㘙	〔※󰃏※󰃏※󰃏※󰄏☯kkkt※〕
㘚	〔※󰃏※󰄚※󰃦※󰄏☯kunt※〕
㘛	〔※󰃏※󰄤※󰂶※󰂜☯kwgd※〕
㘜	〔※󰄥※󰁷※󰄳※󰃏☯wyyk※〕
㘝	〔※󰃒※󰂘※󰀦※※☯lci※〕
㘞	〔※󰃒※󰂫※󰀏※※☯lee※〕
㘟	〔※󰃒※󰂉※󰀵※※☯lak※〕
㘠	〔※󰃒※󰃢※󰄋※󰀏☯lnte※〕
㘡	〔※󰃒※󰃑※󰀵※※☯llk※〕
㘢	〔※󰃒※󰃆※󰂶※󰃺☯ligq※〕
㘣	〔※󰃒※󰃏※󰂧※󰀌☯lked※〕
㘤	〔※󰃒※󰃁※󰀲※󰂶☯lijg※〕
㘥	〔※󰃒※󰂦※󰁿※󰃅☯leti※〕
㘦	〔※󰂮※󰂫※󰁥※※☯fet※〕
㘧	〔※󰂮※󰁻※󰃦※󰂻☯fcnh※〕
㘨	〔※󰂮※󰃜※󰄤※󰁶☯fmwy※〕
㘩	〔※󰂮※󰁴※󰄮※󰁀☯fxxn※〕
㘪	〔※󰂮※󰂬※󰁀※※☯fen※〕
㘫	〔※󰂮※󰂭※󰀯※󰀢☯ffjh※〕
㘬	〔※󰂮※󰃷※󰂙※󰁶☯fqcy※〕
㘭	〔※󰂮※󰄩※󰂁※󰁀☯fxnn※〕
㘮	〔※󰂮※󰃡※󰂃※󰁶☯fnyy※〕
㘯	〔※󰂮※󰁿※󰂫※󰁥☯ftet※〕
㘰	〔※󰂮※󰁦※󰂱※󰀢☯fufh※〕
㘱	〔※󰂮※󰃜※󰂮※󰀝☯fmfg※〕
㘲	〔※󰂮※󰃡※󰄡※󰁀☯fnvn※〕
㘳	〔※󰁩※󰄮※󰂮※󰀘☯uxff※〕
㘴	〔※󰃏※󰄤※󰂮※󰀌☯kwfd※〕
㘵	〔※󰂮※󰁼※󰃜※󰂺☯fdmh※〕
㘶	〔※󰃹※󰂅※󰂮※󰀘☯qgff※〕
㘷	〔※󰂮※󰄖※󰄄※󰁶☯fary※〕
㘸	〔※󰂶※󰃹※󰄮※󰂮☯gqxf※〕
㘹	〔※󰂾※󰄮※󰂮※󰀘☯hxff※〕
㘺	〔※󰂮※󰄥※󰂇※󰁶☯fway※〕
㘻	〔※󰂮※󰃒※󰂝※󰁶☯fldy※〕
㘼	〔※󰂮※󰂮※󰄋※󰁔☯fftn※〕
㘽	〔※󰂱※󰂇※󰂮※󰀌☯fafd※〕
㘾	〔※󰂮※󰃰※󰂶※󰀛☯fpgf※〕
㘿	〔※󰂮※󰃊※󰂮※󰀝☯fjfg※〕
㙀	〔※󰂮※󰃰※󰄦※󰄡☯fpwv※〕
㙁	〔※󰂮※󰁿※󰄭※󰁶☯ftxy※〕
㙂	〔※󰂮※󰄒※󰃏※󰃺☯fukq※〕
㙃	〔※󰂮※󰄁※󰄦※󰁶☯frwy※〕
㙄	〔※󰂮※󰁴※󰄮※󰂮☯fxxf※〕
㙅	〔※󰂮※󰃏※󰄅※󰁶☯fksy※〕
㙆	〔※󰂮※󰃰※󰁼※󰂙☯fpdc※〕
㙇	〔※󰂮※󰂶※󰀓※󰁶☯fgey※〕
㙈	〔※󰂮※󰃀※󰄨※󰁀☯fhwn※〕
㙉	〔※󰂮※󰀿※󰁺※󰄦☯fmaw※〕
㙊	〔※󰂮※󰀍※󰀖※󰁶☯fdey※〕
㙋	〔※󰂮※󰀎※󰄦※󰁶☯fdwy※〕
㙌	〔※󰂮※󰁬※󰂺※󰄦☯fvhw※〕
㙍	〔※󰂮※󰂘※󰂘※󰂘☯fccc※〕
㙎	〔※󰂮※󰂤※󰂶※󰄟☯fdgv※〕
㙏	〔※󰂮※󰁿※󰃊※󰄐☯ftjt※〕
㙐	〔※󰂮※󰃘※󰂢※󰀭☯fmdj※〕
㙑	〔※󰄋※󰃏※󰃜※󰂮☯tkmf※〕
㙒	〔※󰃐※󰁻※󰃦※󰂮☯lcnf※〕
㙓	〔※󰂮※󰂮※󰂮※󰂮☯ffff※〕
㙔	〔※󰂮※󰁆※󰃏※󰂅☯fnkg※〕
㙕	〔※󰂮※󰃐※󰂧※󰀝☯fleg※〕
㙖	〔※󰂮※󰄋※󰃏※󰄼☯ftky※〕
㙗	〔※󰂮※󰃐※󰂶※󰀖☯flge※〕
㙘	〔※󰂮※󰄈※󰄟※󰀝☯fsvg※〕
㙙	〔※󰃁※󰁼※󰄻※󰂮☯idnf※〕
㙚	〔※󰂮※󰄒※󰂷※󰀟☯fugg※〕
㙛	〔※󰂮※󰄊※󰂳※󰁶☯fsfy※〕
㙜	〔※󰁸※󰃜※󰃏※󰂮☯ymkf※〕
㙝	〔※󰂮※󰂫※󰂫※󰂧☯feee※〕
㙞	〔※󰂮※󰄋※󰂼※󰄅☯fths※〕
㙟	〔※󰂮※󰄼※󰁮※󰂧☯fyve※〕
㙠	〔※󰂋※󰁿※󰂝※󰂮☯atdf※〕
㙡	〔※󰂮※󰄎※󰄤※󰁾☯ftwh※〕
㙢	〔※󰂮※󰂊※󰃜※󰄼☯famy※〕
㙣	〔※󰂮※󰄬※󰀍※󰀖☯fxde※〕
㙤	〔※󰂮※󰃀※󰄋※󰀛☯fhtf※〕
㙥	〔※󰂮※󰄘※󰃏※󰀔☯fuke※〕
㙦	〔※󰄤※󰂶※󰄉※󰂮☯wgsf※〕
㙧	〔※󰂮※󰂶※󰀭※󰃐☯fgjl※〕
㙨	〔※󰂮※󰄩※󰄩※󰄤☯fxxw※〕
㙩	〔※󰂮※󰂝※󰄒※󰃅☯fdui※〕
㙪	〔※󰂮※󰂯※󰃱※󰄕☯ffpu※〕
㙫	〔※󰂮※󰄥※󰁷※󰄅☯fwys※〕
㙬	〔※󰄅※󰄤※󰄤※󰂮☯swwf※〕
㙭	〔※󰂮※󰂡※󰄕※󰄤☯fduw※〕
㙮	〔※󰂮※󰄍※󰄤※󰃏☯ftwk※〕
㙯	〔※󰂮※󰄦※󰂮※󰂙☯fwfc※〕
㙰	〔※󰃸※󰂨※󰄠※󰂮☯qevf※〕
㙱	〔※󰃏※󰂶※󰁔※󰂮☯kgnf※〕
㙲	〔※󰂮※󰄶※󰁲※󰁷☯fyxy※〕
㙳	〔※󰂮※󰂤※󰂶※󰃢☯fdgn※〕
㙴	〔※󰂮※󰃸※󰂡※󰄳☯fqdy※〕
㙵	〔※󰂮※󰁸※󰃜※󰂮☯fymf※〕
㙶	〔※󰁸※󰃆※󰃱※󰂮☯yipf※〕
㙷	〔※󰂮※󰃊※󰄩※󰃨☯fjxo※〕
㙸	〔※󰂮※󰄥※󰃬※󰂹☯fwog※〕
㙹	〔※󰂮※󰄖※󰃔※󰃹☯falq※〕
㙺	〔※󰂮※󰂋※󰃏※󰃛☯fakm※〕
㙻	〔※󰂮※󰃫※󰃊※󰂮☯fojf※〕
㙼	〔※󰂮※󰃐※󰃐※󰃐☯flll※〕
㙽	〔※󰂮※󰂝※󰂢※󰃊☯fddj※〕
㙾	〔※󰂮※󰀗※󰄄※󰂍☯ferb※〕
㙿	〔※󰂮※󰄒※󰂷※󰄼☯fugy※〕
㚀	〔※󰂮※󰃀※󰂶※󰂇☯fhga※〕
㚁	〔※󰂮※󰂮※󰂮※󰃺☯fffq※〕
㚂	〔※󰂮※󰂶※󰃏※󰀔☯fgke※〕
㚃	〔※󰂯※󰃱※󰄄※󰄕☯fpru※〕
㚄	〔※󰂯※󰃱※󰃐※󰁾☯fplh※〕
㚅	〔※󰄐※󰂶※󰄋※󰁽☯tgtg※〕
㚆	〔※󰄶※󰃊※󰄐※󰁧☯yjtu※〕
㚇	〔※󰄄※󰂔※󰄦※󰄐☯rbwt※〕
㚈	〔※󰃹※󰂱※󰀢※※☯qfh※〕
㚉	〔※󰂖※󰃹※󰃹※󰁧☯bqqu※〕
㚊	〔※󰃹※󰃹※󰄶※󰄤☯qqyw※〕
㚋	〔※󰃹※󰃹※󰀼※󰃏☯qqmk※〕
㚌	〔※󰃹※󰃹※󰃊※󰄅☯qqjs※〕
㚍	〔※󰃹※󰃹※󰃏※󰃛☯qqkm※〕
㚎	〔※󰂝※󰂔※󰀬※※☯dbj※〕
㚏	〔※󰂝※󰂉※󰀬※※☯daj※〕
㚐	〔※󰂝※󰂝※󰁧※※☯ddu※〕
㚑	〔※󰄢※󰂝※󰁧※※☯vdu※〕
㚒	〔※󰂝※󰄋※󰄼※󰄼☯dtyy※〕
㚓	〔※󰂝※󰄅※󰁧※※☯dsu※〕
㚔	〔※󰂝※󰄕※󰂱※󰀬☯dufj※〕
㚕	〔※󰂝※󰄬※󰀯※󰀬☯dxjj※〕
㚖	〔※󰃽※󰂝※󰁧※※☯rdu※〕
㚗	〔※󰂝※󰀐※󰂶※󰀘☯degf※〕
㚘	〔※󰂹※󰂹※󰁶※※☯ggy※〕
㚙	〔※󰂫※󰃏※󰂝※󰁧☯ekdu※〕
㚚	〔※󰂝※󰃹※󰃏※󰀘☯dqkf※〕
㚛	〔※󰂝※󰄮※󰃊※󰀘☯dxjf※〕
㚜	〔※󰂝※󰂇※󰃏※󰀞☯dakg※〕
㚝	〔※󰂝※󰄥※󰂮※󰂮☯dwff※〕
㚞	〔※󰂝※󰄅※󰄅※󰁧☯dssu※〕
㚟	〔※󰃸※󰃏※󰁴※󰂝☯qkxd※〕
㚠	〔※󰂝※󰄒※󰂷※󰃨☯dugo※〕
㚡	〔※󰂝※󰄆※󰃏※󰃏☯dskk※〕
㚢	〔※󰄥※󰄟※󰀝※※☯wvg※〕
㚣	〔※󰄟※󰄟※󰀘※※☯vvf※〕
㚤	〔※󰄟※󰀁※󰄼※󰁶☯vayy※〕
㚥	〔※󰄟※󰂶※󰀛※󰀢☯vgfh※〕
㚦	〔※󰄟※󰂶※󰀯※󰀢☯vgjh※〕
㚧	〔※󰄟※󰃫※󰁥※※☯vot※〕
㚨	〔※󰄟※󰄺※󰂱※󰀢☯vnfh※〕
㚩	〔※󰄟※󰃜※󰂭※󰀝☯vmfg※〕
㚪	〔※󰄟※󰂬※󰁀※※☯ven※〕
㚫	〔※󰄟※󰂖※󰂃※󰁶☯vbyy※〕
㚬	〔※󰄟※󰃷※󰄑※󰀝☯vqug※〕
㚭	〔※󰄟※󰁼※󰄻※󰄼☯vdny※〕
㚮	〔※󰄟※󰃱※󰄨※󰁀☯vpwn※〕
㚯	〔※󰄟※󰁰※󰄄※󰁶☯vwry※〕
㚰	〔※󰄟※󰂢※󰂿※󰂶☯vdhg※〕
㚱	〔※󰄟※󰄁※󰀝※※☯vrg※〕
㚲	〔※󰄟※󰀥※󰃏※󰀝☯vhkg※〕
㚳	〔※󰄟※󰂫※󰃏※󰀝☯vekg※〕
㚴	〔※󰄟※󰁼※󰃜※󰂺☯vdmh※〕
㚵	〔※󰄟※󰄐※󰁦※󰁶☯vtuy※〕
㚶	〔※󰄟※󰃧※󰀝※※☯vng※〕
㚷	〔※󰄟※󰄤※󰃅※󰁶☯vwiy※〕
㚸	〔※󰄟※󰂁※󰂶※󰃏☯vngk※〕
㚹	〔※󰄟※󰁚※󰄋※󰂕☯vqtb※〕
㚺	〔※󰄟※󰂖※󰂍※󰀝☯vbbg※〕
㚻	〔※󰃐※󰄟※󰀘※※☯lvf※〕
㚼	〔※󰄟※󰃐※󰀝※※☯vlg※〕
㚽	〔※󰂆※󰂶※󰁔※󰄟☯agnv※〕
㚾	〔※󰄟※󰃏※󰃺※󰁀☯vkqn※〕
㚿	〔※󰄟※󰃷※󰃠※󰁀☯vqnn※〕
㛀	〔※󰄟※󰃸※󰄢※󰀝☯vqvg※〕
㛁	〔※󰄟※󰂶※󰄒※󰂱☯vguf※〕
㛂	〔※󰄟※󰃼※󰂚※󰁀☯vrcn※〕
㛃	〔※󰂜※󰂺※󰄠※󰄟☯dhvv※〕
㛄	〔※󰄟※󰄶※󰀔※󰁶☯vyey※〕
㛅	〔※󰄟※󰂐※󰀝※※☯vbg※〕
㛆	〔※󰄟※󰂖※󰄅※󰁶☯vbsy※〕
㛇	〔※󰄟※󰃫※󰂮※󰀝☯vofg※〕
㛈	〔※󰄟※󰂮※󰄋※󰁔☯vftn※〕
㛉	〔※󰄟※󰄇※󰀝※※☯vsg※〕
㛊	〔※󰄟※󰄨※󰄅※󰁶☯vwsy※〕
㛋	〔※󰄟※󰄤※󰃤※󰁶☯vwny※〕
㛌	〔※󰄟※󰂙※󰄋※󰀟☯vctg※〕
㛍	〔※󰄟※󰂝※󰄤※󰄤☯vdww※〕
㛎	〔※󰄟※󰃏※󰃏※󰀝☯vkkg※〕
㛏	〔※󰄟※󰂶※󰃃※󰄼☯vgiy※〕
㛐	〔※󰄟※󰂶※󰃊※󰄄☯vgjr※〕
㛑	〔※󰀥※󰃹※󰂘※󰄟☯hqcv※〕
㛒	〔※󰄟※󰂶※󰃏※󰄕☯vgku※〕
㛓	〔※󰄟※󰄄※󰁼※󰂺☯vrdh※〕
㛔	〔※󰄟※󰄐※󰂜※󰂺☯vtdh※〕
㛕	〔※󰄟※󰃏※󰂚※󰁀☯vkcn※〕
㛖	〔※󰄟※󰂙※󰄦※󰄐☯vcwt※〕
㛗	〔※󰄟※󰄤※󰄤※󰂮☯vwwf※〕
㛘	〔※󰄟※󰂱※󰃱※󰂍☯vfpb※〕
㛙	〔※󰄟※󰄔※󰀢※※☯vuh※〕
㛚	〔※󰄟※󰁻※󰀒※󰀢☯vceh※〕
㛛	〔※󰄟※󰄋※󰀽※󰄋☯vtmt※〕
㛜	〔※󰄥※󰂺※󰄏※󰄟☯whtv※〕
㛝	〔※󰄟※󰃛※󰁶※※☯vmy※〕
㛞	〔※󰄟※󰂷※󰂉※󰀢☯vgah※〕
㛟	〔※󰄟※󰃸※󰀿※󰂝☯vqmd※〕
㛠	〔※󰄟※󰄙※󰃊※󰀝☯vujg※〕
㛡	〔※󰄟※󰃰※󰂭※󰃺☯vpfq※〕
㛢	〔※󰄟※󰄌※󰂖※󰁥☯vtbt※〕
㛣	〔※󰄟※󰃏※󰃚※󰁶☯vkmy※〕
㛤	〔※󰄟※󰂶※󰃜※󰄼☯vgmy※〕
㛥	〔※󰄟※󰃂※󰃊※󰀝☯vijg※〕
㛦	〔※󰄟※󰄅※󰄅※󰁶☯vssy※〕
㛧	〔※󰄟※󰃘※󰂠※󰀝☯vmdg※〕
㛨	〔※󰄟※󰄝※󰄻※󰁀☯vunn※〕
㛩	〔※󰄟※󰄶※󰂙※󰂧☯vyce※〕
㛪	〔※󰄟※󰂝※󰃊※󰄻☯vdjn※〕
㛫	〔※󰄟※󰃊※󰃷※󰁤☯vjqr※〕
㛬	〔※󰄟※󰂮※󰄦※󰂮☯vfwf※〕
㛭	〔※󰄟※󰁺※󰃊※󰀝☯vajg※〕
㛮	〔※󰄟※󰃰※󰃩※󰂘☯vpoc※〕
㛯	〔※󰄟※󰃸※󰃏※󰂫☯vqke※〕
㛰	〔※󰄟※󰁂※󰀁※󰃊☯vnaj※〕
㛱	〔※󰄟※󰃐※󰂶※󰀖☯vlge※〕
㛲	〔※󰄟※󰂢※󰃛※󰁶☯vdmy※〕
㛳	〔※󰄶※󰄒※󰃱※󰄟☯yupv※〕
㛴	〔※󰄟※󰄞※󰄋※󰄄☯vvtr※〕
㛵	〔※󰄟※󰂦※󰃜※󰂮☯vemf※〕
㛶	〔※󰄟※󰃘※󰁼※󰃩☯vmdo※〕
㛷	〔※󰄌※󰁼※󰄻※󰄟☯tdnv※〕
㛸	〔※󰄟※󰂯※󰃏※󰄕☯vfku※〕
㛹	〔※󰄟※󰄥※󰂶※󰄄☯vwgr※〕
㛺	〔※󰄟※󰄓※󰃊※󰀝☯vujg※〕
㛻	〔※󰄟※󰂝※󰂮※󰂮☯vdff※〕
㛼	〔※󰄟※󰄋※󰂱※󰂪☯vtfe※〕
㛽	〔※󰄟※󰃰※󰃪※󰁶☯vpoy※〕
㛾	〔※󰄟※󰂤※󰂶※󰃏☯vdgk※〕
㛿	〔※󰄟※󰂶※󰀶※󰂺☯vgkh※〕
㜀	〔※󰄟※󰄅※󰂼※󰀝☯vshg※〕
㜁	〔※󰄟※󰄅※󰃊※󰂶☯vsjg※〕
㜂	〔※󰂮※󰂮※󰂳※󰄟☯fffv※〕
㜃	〔※󰄟※󰄥※󰄳※󰀝☯vwyg※〕
㜄	〔※󰄟※󰁰※󰄋※󰃍☯vwtj※〕
㜅	〔※󰄟※󰄶※󰄩※󰃐☯vyxl※〕
㜆	〔※󰄟※󰃪※󰃮※󰁶☯vopy※〕
㜇	〔※󰄟※󰂮※󰂮※󰃢☯vffn※〕
㜈	〔※󰁻※󰃦※󰂻※󰄟☯cnhv※〕
㜉	〔※󰄟※󰄞※󰃏※󰂚☯vvkc※〕
㜊	〔※󰄟※󰃡※󰁺※󰀖☯vnae※〕
㜋	〔※󰄟※󰄕※󰄦※󰃕☯vuwl※〕
㜌	〔※󰂯※󰃱※󰂶※󰂘☯fpgc※〕
㜍	〔※󰄟※󰃫※󰁬※󰃏☯vovk※〕
