⺁	〔※󰃼※󰄋※󰄋※☯rtt☯※〕
㕐	〔※󰂡※󰂪※󰃷※󰃨☯deqo☯xiě※〕
㕑	〔※󰂡※󰂯※󰃏※󰂳☯dfkf☯chú※〕
㕒	〔※󰂡※󰄒※󰂷※󰄼☯dugy☯wéi※wěi※wēi※〕
㕓	〔※󰂡※󰀹※󰂮※󰂮☯dlff☯※〕
㕔	〔※󰂡※󰂐※󰂷※󰃢☯dbgn☯※〕
㕕	〔※󰂙※󰂙※󰁧※☯ccu☯huàn※〕
㕖	〔※󰂙※󰂙※󰂙※󰄅☯cccs☯sù※〕
㕗	〔※󰄒※󰂷※󰁛※󰂙☯ugqc☯yòu※〕
㕘	〔※󰂙※󰂙※󰂙※󰃅☯ccci☯cān※〕
㕙	〔※󰂙※󰄦※󰄐※󰄼☯cwty☯jùn※ruì※〕
㕚	〔※󰂘※󰁦※󰀦※☯cui☯zhǎo※〕
㕛	〔※󰂘※󰂘※󰁧※☯ccu☯xù※yǒu※yòu※〕
㕜	〔※󰃏※󰂺※󰂘※󰁧☯khcu☯shǐ※〕
㕝	〔※󰂟※󰂘※󰁧※☯dcu☯※〕
㕞	〔※󰃡※󰃜※󰂺※󰂘☯nmhc☯shuā※〕
㕟	〔※󰀥※󰃜※󰄖※󰂘☯hmac☯kuì※〕
㕠	〔※󰄑※󰄥※󰁷※󰂘☯uwyc☯shuāng※〕
㕡	〔※󰀥※󰃱※󰂶※󰂘☯hpgc☯hé※hè※huò※〕
㕢	〔※󰀥※󰃱※󰂶※󰂘☯hpgc☯gài※hài※jù※lǔn※nǒu※〕
㕣	〔※󰄦※󰃏※󰀘※☯wkf☯yǎn※yàn※〕
㕤	〔※󰃏※󰄡※󰁀※☯kvn☯qiú※〕
㕥	〔※󰃏※󰄤※󰁶※☯kwy☯yǐ※〕
㕦	〔※󰃏※󰂝※󰁧※☯kdu☯huà※〕
㕧	〔※󰃏※󰃡※󰁥※☯knt☯xī※〕
㕨	〔※󰃏※󰄨※󰄼※󰁶☯kwyy☯fàn※〕
㕩	〔※󰃏※󰂜※󰂺※󰀢☯kdhh☯zhàng※〕
㕪	〔※󰃏※󰃱※󰁜※󰁀☯kpqn☯dǎn※〕
㕫	〔※󰃏※󰄸※󰁥※☯kyt☯fǎng※〕
㕬	〔※󰃏※󰄦※󰂙※󰁶☯kwcy☯sòng※〕
㕭	〔※󰃏※󰄋※󰂝※󰁶☯ktdy☯ào※bì※〕
㕮	〔※󰃏※󰄦※󰄄※󰁶☯kwry☯fǔ※〕
㕯	〔※󰃜※󰄤※󰃏※󰀌☯mwkd☯nè※〕
㕰	〔※󰃏※󰂬※󰁀※☯ken☯hè※〕
㕱	〔※󰃏※󰁼※󰄻※󰄼☯kdny☯yóu※〕
㕲	〔※󰃏※󰄅※󰁶※☯ksy☯huá※yíng※〕
㕳	〔※󰃏※󰄄※󰂔※󰀢☯krbh☯※〕
㕴	〔※󰃏※󰃱※󰄨※󰁀☯kpwn☯chén※〕
㕵	〔※󰃏※󰂷※󰀝※☯kgg☯guó※hún※luǒ※〕
㕶	〔※󰃏※󰂸※󰀝※☯kgg☯ň※ňg※〕
㕷	〔※󰃏※󰃽※󰀝※☯krg☯huà※〕
㕸	〔※󰃏※󰄓※󰀝※☯kug☯lì※〕
㕹	〔※󰃏※󰁼※󰂘※󰄼☯kdcy☯fá※〕
㕺	〔※󰃏※󰃏※󰂶※󰁔☯kkgn☯háo※〕
㕻	〔※󰄼※󰂢※󰂿※󰃏☯ydhk☯tòu※〕
㕼	〔※󰃏※󰃷※󰄄※󰄃☯kqrn☯※〕
㕽	〔※󰃏※󰁐※󰄼※󰄤☯knyw☯sì※〕
㕾	〔※󰃅※󰃏※󰄮※󰀅☯ikxb☯xiǎo※〕
㕿	〔※󰄌※󰃏※󰀘※☯tkf☯※〕
㖀	〔※󰃏※󰁬※󰀟※󰀢☯kvgh☯lè※luò※〕
㖁	〔※󰃏※󰄄※󰁼※󰂙☯krdc☯lìn※〕
㖂	〔※󰃏※󰃊※󰁒※󰄋☯kjnt☯yì※〕
㖃	〔※󰃏※󰃼※󰂶※󰃏☯krgk☯hǒu※hòu※〕
㖄	〔※󰃏※󰄼※󰄋※󰂺☯kyth☯※〕
㖅	〔※󰃏※󰂤※󰂶※󰀝☯kdgg☯xù※〕
㖆	〔※󰃏※󰀿※󰁺※󰀝☯kmag☯qú※qǔ※〕
㖇	〔※󰃏※󰂢※󰃜※󰀭☯kdmj☯ér※〕
㖈	〔※󰂮※󰄋※󰄮※󰃏☯ftxk☯※〕
㖉	〔※󰃏※󰄤※󰂾※󰀝☯kwhg☯※〕
㖊	〔※󰃏※󰄢※󰂳※󰁶☯kvfy☯※〕
㖋	〔※󰄤※󰀯※󰃏※󰄮☯wjkx☯※〕
㖌	〔※󰄥※󰄡※󰃏※󰄮☯wvkx☯※〕
㖍	〔※󰁦※󰂱※󰃏※󰄮☯ufkx☯※〕
㖎	〔※󰃏※󰄮※󰄤※󰀯☯kxwj☯※〕
㖏	〔※󰃏※󰃊※󰂮※󰀝☯kjfg☯nèi※〕
㖐	〔※󰃏※󰃏※󰁬※󰄋☯kkvt☯wěi※〕
㖑	〔※󰃏※󰂇※󰂉※󰀢☯kaah☯xiè※〕
㖒	〔※󰃏※󰄒※󰄬※󰄋☯kuxt☯tí※〕
㖓	〔※󰃏※󰄐※󰂜※󰂺☯ktdh☯hóng※〕
㖔	〔※󰃏※󰄋※󰂝※󰃏☯ktdk☯tǔn※〕
㖕	〔※󰃏※󰄔※󰀢※☯kuh☯bò※niè※〕
㖖	〔※󰄔※󰃏※󰀘※☯ukf☯niè※〕
㖗	〔※󰃏※󰃘※󰄤※󰃦☯kmwn☯yín※〕
㖘	〔※󰃏※󰂡※󰂭※󰀖☯kdfe☯※〕
㖙	〔※󰂫※󰃏※󰃏※󰄮☯ekkx☯※〕
㖚	〔※󰄥※󰂳※󰃏※󰄮☯wfkx☯※〕
㖛	〔※󰂟※󰃏※󰄮※󰀅☯dkxb☯※〕
㖜	〔※󰁸※󰃏※󰄮※󰀅☯ykxb☯xiǎng※〕
㖝	〔※󰂵※󰃏※󰄮※󰀅☯fkxb☯※〕
㖞	〔※󰃏※󰃏※󰃜※󰄤☯kkmw☯wāi※〕
㖟	〔※󰃏※󰂦※󰃱※󰂘☯kepc☯shòu※〕
㖠	〔※󰃏※󰂝※󰂭※󰃅☯kdfi☯bà※nuò※〕
㖡	〔※󰃏※󰄶※󰄥※󰄼☯kywy☯yè※〕
㖢	〔※󰃏※󰃫※󰂾※󰄮☯kohx☯jí※qí※〕
㖣	〔※󰃏※󰄓※󰃏※󰀝☯kukg☯tòu※〕
㖤	〔※󰃏※󰂒※󰀪※󰂔☯kbib☯hán※〕
㖥	〔※󰃏※󰃒※󰄌※󰁶☯klty☯jiǒng※〕
㖦	〔※󰃏※󰄅※󰃊※󰀝☯ksjg☯dǒng※〕
㖧	〔※󰃏※󰁚※󰀁※󰃊☯kqaj☯wěn※〕
㖨	〔※󰃏※󰁭※󰃃※󰁶☯kviy☯lù※〕
㖩	〔※󰃏※󰂐※󰂘※󰁶☯kbcy☯sǒu※〕
㖪	〔※󰃏※󰂇※󰃏※󰀞☯kakg☯guó※〕
㖫	〔※󰃏※󰂮※󰄦※󰄐☯kfwt☯líng※〕
㖬	〔※󰃏※󰂪※󰂘※󰁶☯kecy☯※〕
㖭	〔※󰃏※󰄋※󰂝※󰃤☯ktdn☯tiǎn※〕
㖮	〔※󰃏※󰄤※󰂶※󰄖☯kwga☯lún※〕
㖯	〔※󰃜※󰂶※󰃏※󰄮☯mgkx☯※〕
㖰	〔※󰃏※󰄮※󰃜※󰃏☯kxmk☯※〕
㖱	〔※󰄶※󰄥※󰄐※󰃏☯ywtk☯※〕
㖲	〔※󰄟※󰃏※󰃏※󰄮☯vkkx☯※〕
㖳	〔※󰃁※󰄟※󰃏※󰄮☯ivkx☯※〕
㖴	〔※󰃏※󰄖※󰃷※󰁤☯kaqr☯※〕
㖵	〔※󰃏※󰀣※󰄦※󰁶☯khwy☯※〕
㖶	〔※󰃏※󰄈※󰂮※󰀝☯ksfg☯yè※〕
㖷	〔※󰃏※󰃊※󰂶※󰁾☯kjgh☯shí※tí※〕
㖸	〔※󰃏※󰃀※󰂋※󰂶☯khag☯xué※〕
㖹	〔※󰃏※󰄦※󰄠※󰃕☯kwvl☯fèn※〕
㖺	〔※󰃏※󰂜※󰄤※󰃊☯kdwj☯chǔn※〕
㖻	〔※󰃏※󰁻※󰃦※󰄅☯kcns☯róu※〕
㖼	〔※󰃏※󰂴※󰄅※󰁶☯kfsy☯duǒ※lín※móu※〕
㖽	〔※󰃏※󰂢※󰃛※󰁶☯kdmy☯zé※zéi※〕
㖾	〔※󰃏※󰃏※󰄕※󰄋☯kkut☯è※〕
㖿	〔※󰃏※󰂐※󰂏※󰀢☯kbbh☯xié※〕
㗀	〔※󰃏※󰃘※󰄩※󰄩☯kmxx☯※〕
㗁	〔※󰃏※󰃏※󰃏※󰁔☯kkkn☯è※〕
㗂	〔※󰃏※󰃅※󰄋※󰂼☯kith☯shěng※〕
㗃	〔※󰃏※󰁂※󰀁※󰃊☯knaj☯wěn※yìn※〕
㗄	〔※󰃏※󰃔※󰄸※󰁥☯klyt☯mán※màn※〕
㗅	〔※󰃏※󰂟※󰂧※󰀝☯kdeg☯hú※〕
㗆	〔※󰃏※󰂊※󰀜※󰀢☯kafh☯gé※kài※〕
㗇	〔※󰃏※󰁃※󰂺※󰂘☯knhc☯xiá※ya※〕
㗈	〔※󰃏※󰁻※󰀒※󰂫☯kcee☯màn※〕
㗉	〔※󰂜※󰂺※󰄠※󰃏☯dhvk☯bì※è※lüè※〕
㗊	〔※󰃏※󰃏※󰃏※󰃏☯kkkk☯jí※qì※bī※léi※〕
㗋	〔※󰃏※󰃸※󰂡※󰂝☯kqdd☯hóu※〕
㗌	〔※󰃏※󰃰※󰂶※󰂮☯kpgf☯zhì※〕
㗍	〔※󰃏※󰄌※󰃊※󰀝☯ktjg☯※〕
㗎	〔※󰃏※󰂫※󰃏※󰄅☯keks☯※〕
㗏	〔※󰃏※󰂢※󰂿※󰂾☯kdhh☯※〕
㗐	〔※󰃏※󰂝※󰄼※󰃕☯kdyl☯※〕
㗑	〔※󰃏※󰂀※󰂜※󰂱☯krdf☯bài※〕
㗒	〔※󰃏※󰁸※󰀔※󰁶☯kyey☯ài※〕
㗓	〔※󰃏※󰄋※󰃧※󰃮☯ktnp☯※〕
㗔	〔※󰃏※󰃀※󰄷※󰁶☯khyy☯※〕
㗕	〔※󰃏※󰀀※󰃜※󰂮☯kamf☯gòu※〕
㗖	〔※󰃏※󰂦※󰂪※󰀝☯keeg☯dàn※〕
㗗	〔※󰃏※󰂫※󰃽※󰂱☯kerf☯bǎi※〕
㗘	〔※󰃏※󰄊※󰂳※󰁶☯ksfy☯bó※fù※〕
㗙	〔※󰃏※󰃷※󰂔※󰄋☯kqbt☯nà※chú※zhōu※〕
㗚	〔※󰃏※󰄈※󰄅※󰁶☯kssy☯lì※〕
㗛	〔※󰃏※󰄍※󰄋※󰂝☯kttd☯xiào※〕
㗜	〔※󰃏※󰄶※󰄩※󰃐☯kyxl☯xiù※〕
㗝	〔※󰃏※󰄕※󰂷※󰃨☯kugo☯※〕
㗞	〔※󰃏※󰂠※󰂗※󰁶☯kdby☯※〕
㗟	〔※󰃁※󰄼※󰂷※󰄮☯iygx☯※〕
㗠	〔※󰄟※󰂙※󰃏※󰄮☯vckx☯※〕
㗡	〔※󰄖※󰄥※󰂖※󰄮☯awbx☯※〕
㗢	〔※󰃏※󰄋※󰂶※󰂫☯ktge☯dòng※hóng※〕
㗣	〔※󰃏※󰂊※󰃺※󰂺☯kaqh☯tì※〕
㗤	〔※󰂤※󰂽※󰃅※󰃏☯dhik☯cù※〕
㗥	〔※󰃏※󰁸※󰂎※󰂏☯kybb☯kuò※〕
㗦	〔※󰃏※󰂐※󰁚※󰂕☯kbqb☯láo※〕
㗧	〔※󰃏※󰃰※󰄦※󰂮☯kpwf☯zhì※〕
㗨	〔※󰂋※󰁿※󰂝※󰃏☯atdk☯ǎi※〕
㗩	〔※󰃏※󰃥※󰃽※󰀝☯knrg☯xī※〕
㗪	〔※󰃏※󰂾※󰄮※󰃅☯khxi☯※〕
㗫	〔※󰃏※󰁯※󰂭※󰃅☯kwfi☯qiè※〕
㗬	〔※󰃆※󰃱※󰃏※󰃹☯ipkq☯zhā※〕
㗭	〔※󰃏※󰄋※󰃪※󰃢☯kton☯※〕
㗮	〔※󰃹※󰃏※󰃫※󰄤☯qkow☯※〕
㗯	〔※󰂮※󰄋※󰃊※󰄮☯ftjx☯※〕
㗰	〔※󰃏※󰄎※󰄤※󰁾☯ktwh☯chù※cóng※〕
㗱	〔※󰃏※󰄥※󰁷※󰄅☯kwys☯jí※〕
㗲	〔※󰃏※󰁬※󰂮※󰂶☯kvfg☯huò※xì※〕
㗳	〔※󰃏※󰄍※󰄤※󰃏☯ktwk☯tǎ※〕
㗴	〔※󰃏※󰄚※󰂧※󰀝☯kueg☯yán※〕
㗵	〔※󰃏※󰃩※󰃩※󰄤☯koow☯xù※〕
㗶	〔※󰃏※󰄧※󰄬※󰂘☯kwxc☯※〕
㗷	〔※󰃏※󰃰※󰀀※󰃚☯kpam☯sǎi※〕
㗸	〔※󰃏※󰄎※󰁿※󰄆☯ktts☯※〕
㗹	〔※󰃏※󰄥※󰁷※󰃢☯kwyn☯※〕
㗺	〔※󰃏※󰂶※󰂝※󰂜☯kgdd☯※〕
㗻	〔※󰃏※󰀿※󰁈※󰃮☯kmnp☯guō※〕
㗼	〔※󰃏※󰃬※󰄒※󰂵☯kouf☯yè※〕
㗽	〔※󰁲※󰄋※󰄼※󰃏☯xtyk☯xiǎng※〕
㗾	〔※󰃏※󰂊※󰀜※󰁳☯kafx☯xué※〕
㗿	〔※󰃏※󰄚※󰄆※󰃏☯kusk☯hé※xià※xiā※〕
㘀	〔※󰃏※󰂪※󰃪※󰁶☯keoy☯zuò※〕
㘁	〔※󰃏※󰃕※󰂮※󰂱☯klff☯yì※〕
㘂	〔※󰃏※󰄕※󰄩※󰃢☯kuxn☯cí※〕
㘃	〔※󰃏※󰄖※󰁼※󰃢☯kadn☯ruò※〕
㘄	〔※󰃏※󰄅※󰃔※󰄸☯ksly☯lēng※〕
㘅	〔※󰃏※󰄎※󰃶※󰄆☯ktqs☯xián※〕
㘆	〔※󰃏※󰂯※󰃏※󰂮☯kfkf☯tái※〕
㘇	〔※󰃏※󰃩※󰃩※󰄅☯koos☯róng※〕
㘈	〔※󰃏※󰄮※󰁿※󰁾☯kxth☯yī※yì※〕
㘉	〔※󰃏※󰄍※󰁮※󰂕☯ktvb☯zhì※〕
㘊	〔※󰃏※󰀙※󰄳※󰀝☯kfyg☯yì※〕
㘋	〔※󰃏※󰂋※󰂺※󰃛☯kahm☯xián※〕
㘌	〔※󰃏※󰃀※󰂶※󰃉☯khgj☯jù※〕
㘍	〔※󰃏※󰃅※󰄥※󰂇☯kiwa☯jí※qì※〕
㘎	〔※󰃏※󰄙※󰃦※󰄏☯kunt☯hǎn※hàn※〕
㘏	〔※󰄕※󰄋※󰂼※󰄮☯uthx☯※〕
㘐	〔※󰃏※󰀋※󰃨※󰄄☯kcor☯pào※pěng※〕
㘑	〔※󰃏※󰂯※󰂭※󰃃☯kffi☯lì※〕
㘒	〔※󰄌※󰄋※󰂶※󰄮☯ttgx☯※〕
㘓	〔※󰃏※󰄚※󰄅※󰀹☯kusl☯lán※〕
㘔	〔※󰃏※󰃰※󰀀※󰃛☯kpam☯cǎn※sǎi※〕
㘕	〔※󰃏※󰄖※󰂋※󰃕☯kaal☯hǎn※lán※〕
㘖	〔※󰃏※󰄓※󰄋※󰃛☯kutm☯yán※〕
㘗	〔※󰃏※󰂼※󰂼※󰁷☯khhy☯※〕
㘘	〔※󰄳※󰄫※󰄫※󰃏☯yxxk☯※〕
㘙	〔※󰃏※󰃏※󰃏※󰄏☯kkkt☯yán※yǎn※〕
㘚	〔※󰃏※󰄚※󰃦※󰄏☯kunt☯hǎn※〕
㘛	〔※󰃏※󰄤※󰂶※󰂜☯kwgd☯※〕
㘜	〔※󰄥※󰁷※󰄳※󰃏☯wyyk☯chǐ※chóu※chù※〕
㘝	〔※󰃒※󰂘※󰀦※☯lci☯niǎn※niè※nà※lǎn※〕
㘞	〔※󰃒※󰂫※󰀏※☯lee☯huò※〕
㘟	〔※󰃒※󰂉※󰀵※☯lak☯※〕
㘠	〔※󰃒※󰃢※󰄋※󰀏☯lnte☯bì※mì※〕
㘡	〔※󰃒※󰃑※󰀵※☯llk☯xiá※〕
㘢	〔※󰃒※󰃆※󰂶※󰃺☯ligq☯wěng※〕
㘣	〔※󰃒※󰃏※󰂧※󰀌☯lked☯xuán※yuán※〕
㘤	〔※󰃒※󰃁※󰀲※󰂶☯lijg☯※〕
㘥	〔※󰃒※󰂦※󰁿※󰃅☯leti☯yóu※〕
㘦	〔※󰂮※󰂫※󰁥※☯fet☯qín※〕
㘧	〔※󰂮※󰁻※󰃦※󰂻☯fcnh☯xù※〕
㘨	〔※󰂮※󰃜※󰄤※󰁶☯fmwy☯nèi※〕
㘩	〔※󰂮※󰁴※󰄮※󰁀☯fxxn☯bì※〕
㘪	〔※󰂮※󰂬※󰁀※☯fen☯hào※〕
㘫	〔※󰂮※󰂭※󰀯※󰀢☯ffjh☯jǐng※〕
㘬	〔※󰂮※󰃷※󰂙※󰁶☯fqcy☯ào※〕
㘭	〔※󰂮※󰄩※󰂁※󰁀☯fxnn☯ào※〕
㘮	〔※󰂮※󰃡※󰂃※󰁶☯fnyy☯※〕
㘯	〔※󰂮※󰁿※󰂫※󰁥☯ftet☯※〕
㘰	〔※󰂮※󰁦※󰂱※󰀢☯fufh☯※〕
㘱	〔※󰂮※󰃜※󰂮※󰀝☯fmfg☯※〕
㘲	〔※󰂮※󰃡※󰄡※󰁀☯fnvn☯jú※〕
㘳	〔※󰁩※󰄮※󰂮※󰀘☯uxff☯※〕
㘴	〔※󰃏※󰄤※󰂮※󰀌☯kwfd☯zuò※〕
㘵	〔※󰂮※󰁼※󰃜※󰂺☯fdmh☯bù※〕
㘶	〔※󰃹※󰂅※󰂮※󰀘☯qgff☯jié※〕
㘷	〔※󰂮※󰄖※󰄄※󰁶☯fary☯ài※〕
㘸	〔※󰂶※󰃹※󰄮※󰂮☯gqxf☯zàng※〕
㘹	〔※󰂾※󰄮※󰂮※󰀘☯hxff☯cí※〕
㘺	〔※󰂮※󰄥※󰂇※󰁶☯fway☯fá※〕
㘻	〔※󰂮※󰃒※󰂝※󰁶☯fldy☯※〕
㘼	〔※󰂮※󰂮※󰄋※󰁔☯fftn☯※〕
㘽	〔※󰂱※󰂇※󰂮※󰀌☯fafd☯※〕
㘾	〔※󰂮※󰃰※󰂶※󰀛☯fpgf☯※〕
㘿	〔※󰂮※󰃊※󰂮※󰀝☯fjfg☯niè※〕
㙀	〔※󰂮※󰃰※󰄦※󰄡☯fpwv☯liù※〕
㙁	〔※󰂮※󰁿※󰄭※󰁶☯ftxy☯mǎng※méi※mèi※mù※nà※〕
㙂	〔※󰂮※󰄒※󰃏※󰃺☯fukq☯duì※〕
㙃	〔※󰂮※󰄁※󰄦※󰁶☯frwy☯※〕
㙄	〔※󰂮※󰁴※󰄮※󰂮☯fxxf☯bì※〕
㙅	〔※󰂮※󰃏※󰄅※󰁶☯fksy☯bǎo※〕
㙆	〔※󰂮※󰃰※󰁼※󰂙☯fpdc☯※〕
㙇	〔※󰂮※󰂶※󰀓※󰁶☯fgey☯chù※〕
㙈	〔※󰂮※󰃀※󰄨※󰁀☯fhwn☯hán※xià※〕
㙉	〔※󰂮※󰀿※󰁺※󰄦☯fmaw☯tiǎn※〕
㙊	〔※󰂮※󰀍※󰀖※󰁶☯fdey☯cháng※zhàng※〕
㙋	〔※󰂮※󰀎※󰄦※󰁶☯fdwy☯※〕
㙌	〔※󰂮※󰁬※󰂺※󰄦☯fvhw☯※〕
㙍	〔※󰂮※󰂘※󰂘※󰂘☯fccc☯duō※〕
㙎	〔※󰂮※󰂤※󰂶※󰄟☯fdgv☯※〕
㙏	〔※󰂮※󰁿※󰃊※󰄐☯ftjt☯fù※〕
㙐	〔※󰂮※󰃘※󰂢※󰀭☯fmdj☯duǒ※〕
㙑	〔※󰄋※󰃏※󰃜※󰂮☯tkmf☯yǔ※〕
㙒	〔※󰃐※󰁻※󰃦※󰂮☯lcnf☯yě※〕
㙓	〔※󰂮※󰂮※󰂮※󰂮☯ffff☯kuí※〕
㙔	〔※󰂮※󰁆※󰃏※󰂅☯fnkg☯hán※〕
㙕	〔※󰂮※󰃐※󰂧※󰀝☯fleg☯kuài※〕
㙖	〔※󰂮※󰄋※󰃏※󰄼☯ftky☯※〕
㙗	〔※󰂮※󰃐※󰂶※󰀖☯flge☯kuài※〕
㙘	〔※󰂮※󰄈※󰄟※󰀝☯fsvg☯※〕
㙙	〔※󰃁※󰁼※󰄻※󰂮☯idnf☯lǒng※〕
㙚	〔※󰂮※󰄒※󰂷※󰀟☯fugg☯xīng※〕
㙛	〔※󰂮※󰄊※󰂳※󰁶☯fsfy☯bǔ※〕
㙜	〔※󰁸※󰃜※󰃏※󰂮☯ymkf☯chí※tái※〕
㙝	〔※󰂮※󰂫※󰂫※󰂧☯feee☯xié※〕
㙞	〔※󰂮※󰄋※󰂼※󰄅☯fths☯niè※〕
㙟	〔※󰂮※󰄼※󰁮※󰂧☯fyve☯lǎng※〕
㙠	〔※󰂋※󰁿※󰂝※󰂮☯atdf☯yì※yī※〕
㙡	〔※󰂮※󰄎※󰄤※󰁾☯ftwh☯※〕
㙢	〔※󰂮※󰂊※󰃜※󰄼☯famy☯mán※mén※〕
㙣	〔※󰂮※󰄬※󰀍※󰀖☯fxde☯zhàng※〕
㙤	〔※󰂮※󰃀※󰄋※󰀛☯fhtf☯xià※〕
㙥	〔※󰂮※󰄘※󰃏※󰀔☯fuke☯gǔn※〕
㙦	〔※󰄤※󰂶※󰄉※󰂮☯wgsf☯xié※〕
㙧	〔※󰂮※󰂶※󰀭※󰃐☯fgjl☯※〕
㙨	〔※󰂮※󰄩※󰄩※󰄤☯fxxw☯jì※qí※〕
㙩	〔※󰂮※󰂝※󰄒※󰃅☯fdui☯liáo※〕
㙪	〔※󰂮※󰂯※󰃱※󰄕☯ffpu☯yè※yì※〕
㙫	〔※󰂮※󰄥※󰁷※󰄅☯fwys☯jí※〕
㙬	〔※󰄅※󰄤※󰄤※󰂮☯swwf☯yín※〕
㙭	〔※󰂮※󰂡※󰄕※󰄤☯fduw☯※〕
㙮	〔※󰂮※󰄍※󰄤※󰃏☯ftwk☯dā※da※〕
㙯	〔※󰂮※󰄦※󰂮※󰂙☯fwfc☯yì※〕
㙰	〔※󰃸※󰂨※󰄠※󰂮☯qevf☯xiè※〕
㙱	〔※󰃏※󰂶※󰁔※󰂮☯kgnf☯hào※〕
㙲	〔※󰂮※󰄶※󰁲※󰁷☯fyxy☯yǒng※〕
㙳	〔※󰂮※󰂤※󰂶※󰃢☯fdgn☯hǎn※hé※kǎn※〕
㙴	〔※󰂮※󰃸※󰂡※󰄳☯fqdy☯chàn※zhàn※〕
㙵	〔※󰂮※󰁸※󰃜※󰂮☯fymf☯tái※〕
㙶	〔※󰁸※󰃆※󰃱※󰂮☯yipf☯táng※〕
㙷	〔※󰂮※󰃊※󰄩※󰃨☯fjxo☯zhí※〕
㙸	〔※󰂮※󰄥※󰃬※󰂹☯fwog☯bào※bó※pú※〕
㙹	〔※󰂮※󰄖※󰃔※󰃹☯falq☯méng※〕
㙺	〔※󰂮※󰂋※󰃏※󰃛☯fakm☯guì※kuí※〕
㙻	〔※󰂮※󰃫※󰃊※󰂮☯fojf☯chán※qiè※zàn※〕
㙼	〔※󰂮※󰃐※󰃐※󰃐☯flll☯lěi※〕
㙽	〔※󰂮※󰂝※󰂢※󰃊☯fddj☯※〕
㙾	〔※󰂮※󰀗※󰄄※󰂍☯ferb☯xì※xué※〕
㙿	〔※󰂮※󰄒※󰂷※󰄼☯fugy☯※〕
㚀	〔※󰂮※󰃀※󰂶※󰂇☯fhga☯※〕
㚁	〔※󰂮※󰂮※󰂮※󰃺☯fffq☯qiáo※qiào※qù※〕
㚂	〔※󰂮※󰂶※󰃏※󰀔☯fgke☯ráng※〕
㚃	〔※󰂯※󰃱※󰄄※󰄕☯fpru☯yún※yùn※yūn※〕
㚄	〔※󰂯※󰃱※󰃐※󰁾☯fplh☯※〕
㚅	〔※󰄐※󰂶※󰄋※󰁽☯tgtg☯lóng※〕
㚆	〔※󰄶※󰃊※󰄐※󰁧☯yjtu☯fù※〕
㚇	〔※󰄄※󰂔※󰄦※󰄐☯rbwt☯zōng※〕
㚈	〔※󰃹※󰂱※󰀢※☯qfh☯※〕
㚉	〔※󰂖※󰃹※󰃹※󰁧☯bqqu☯gǔ※〕
㚊	〔※󰃹※󰃹※󰄶※󰄤☯qqyw☯kāi※〕
㚋	〔※󰃹※󰃹※󰀼※󰃏☯qqmk☯※〕
㚌	〔※󰃹※󰃹※󰃊※󰄅☯qqjs☯huà※huǒ※〕
㚍	〔※󰃹※󰃹※󰃏※󰃛☯qqkm☯guó※kuǐ※kuì※〕
㚎	〔※󰂝※󰂔※󰀬※☯dbj☯※〕
㚏	〔※󰂝※󰂉※󰀬※☯daj☯gǎo※〕
㚐	〔※󰂝※󰂝※󰁧※☯ddu☯tào※〕
㚑	〔※󰄢※󰂝※󰁧※☯vdu☯※〕
㚒	〔※󰂝※󰄋※󰄼※󰄼☯dtyy☯shǎn※〕
㚓	〔※󰂝※󰄅※󰁧※☯dsu☯lái※lǎi※〕
㚔	〔※󰂝※󰄕※󰂱※󰀬☯dufj☯niè※〕
㚕	〔※󰂝※󰄬※󰀯※󰀬☯dxjj☯fú※bì※〕
㚖	〔※󰃽※󰂝※󰁧※☯rdu☯gǎo※〕
㚗	〔※󰂝※󰀐※󰂶※󰀘☯degf☯qié※xié※〕
㚘	〔※󰂹※󰂹※󰁶※☯ggy☯bàn※〕
㚙	〔※󰂫※󰃏※󰂝※󰁧☯ekdu☯※〕
㚚	〔※󰂝※󰃹※󰃏※󰀘☯dqkf☯※〕
㚛	〔※󰂝※󰄮※󰃊※󰀘☯dxjf☯xì※〕
㚜	〔※󰂝※󰂇※󰃏※󰀞☯dakg☯xù※yù※〕
㚝	〔※󰂝※󰄥※󰂮※󰂮☯dwff☯kuí※〕
㚞	〔※󰂝※󰄅※󰄅※󰁧☯dssu☯měng※shěn※yìng※yùn※〕
㚟	〔※󰃸※󰃏※󰁴※󰂝☯qkxd☯chuò※〕
㚠	〔※󰂝※󰄒※󰂷※󰃨☯dugo☯※〕
㚡	〔※󰂝※󰄆※󰃏※󰃏☯dskk☯jǐ※〕
㚢	〔※󰄥※󰄟※󰀝※☯wvg☯nú※〕
㚣	〔※󰄟※󰄟※󰀘※☯vvf☯jiāo※xiáo※〕
㚤	〔※󰄟※󰀁※󰄼※󰁶☯vayy☯yì※〕
㚥	〔※󰄟※󰂶※󰀛※󰀢☯vgfh☯yú※〕
㚦	〔※󰄟※󰂶※󰀯※󰀢☯vgjh☯yí※〕
㚧	〔※󰄟※󰃫※󰁥※☯vot☯yǎn※〕
㚨	〔※󰄟※󰄺※󰂱※󰀢☯vnfh☯※〕
㚩	〔※󰄟※󰃜※󰂭※󰀝☯vmfg☯rǎn※〕
㚪	〔※󰄟※󰂬※󰁀※☯ven☯hào※〕
㚫	〔※󰄟※󰂖※󰂃※󰁶☯vbyy☯shà※zhà※〕
㚬	〔※󰄟※󰃷※󰄑※󰀝☯vqug☯※〕
